Frequency (Hz)	Level (dB)
11369.531250	-57.161346
11380.297852	-59.191601
11391.064453	-62.589966
11401.831055	-67.073357
11412.597656	-72.627686
11423.364258	-76.292816
11434.130859	-75.229652
11444.897461	-71.652710
11455.664062	-70.073273
11466.430664	-68.282280
11477.197266	-66.403023
11487.963867	-66.553123
11498.730469	-67.577904
11509.497070	-68.706291
11520.263672	-69.127670
11531.030273	-66.572174
11541.796875	-65.505592
11552.563477	-67.538712
11563.330078	-70.793442
11574.096680	-68.783798
11584.863281	-64.692787
11595.629883	-62.425850
11606.396484	-63.263664
11617.163086	-67.294846
11627.929688	-73.110382
11638.696289	-76.652222
11649.462891	-77.596100
11660.229492	-76.969559
11670.996094	-75.972977
11681.762695	-76.767921
11692.529297	-78.311562
11703.295898	-79.513184
11714.062500	-80.651810
11724.829102	-82.618530
11735.595703	-83.712990
11746.362305	-82.146164
11757.128906	-80.641594
11767.895508	-79.623283
11778.662109	-78.259377
11789.428711	-74.551704
11800.195312	-71.546455
11810.961914	-71.680779
11821.728516	-74.299416
11832.495117	-76.366302
11843.261719	-77.202148
11854.028320	-78.387115
11864.794922	-79.958649
11875.561523	-80.229530
11886.328125	-79.430672
11897.094727	-79.017380
11907.861328	-79.029930
11918.627930	-79.131332
11929.394531	-78.815605
11940.161133	-78.789268
11950.927734	-79.028740
11961.694336	-78.743103
11972.460938	-77.843765
11983.227539	-77.699867
11993.994141	-78.532211
12004.760742	-78.933022
12015.527344	-78.339310
12026.293945	-77.487373
12037.060547	-77.157570
12047.827148	-77.237457
12058.593750	-77.725754
12069.360352	-78.775688
12080.126953	-80.564682
12090.893555	-82.892761
12101.660156	-83.949417
12112.426758	-83.831299
12123.193359	-81.384293
12133.959961	-78.068794
12144.726562	-76.250290
12155.493164	-75.907013
12166.259766	-77.068207
12177.026367	-78.328583
12187.792969	-78.198143
12198.559570	-78.676361
12209.326172	-81.396774
12220.092773	-83.935799
12230.859375	-81.934059
12241.625977	-74.858360
12252.392578	-65.787163
12263.159180	-59.366455
12273.925781	-56.807987
12284.692383	-56.515541
12295.458984	-56.759739
12306.225586	-58.539108
12316.992188	-61.950375
12327.758789	-66.345642
12338.525391	-71.747856
12349.291992	-76.867325
12360.058594	-80.493622
12370.825195	-82.485718
12381.591797	-82.867462
12392.358398	-82.119843
12403.125000	-81.454865
12413.891602	-80.676712
12424.658203	-79.714462
12435.424805	-79.284019
12446.191406	-79.908585
12456.958008	-80.440491
12467.724609	-79.587997
12478.491211	-77.123329
12489.257812	-72.738983
12500.024414	-67.888878
12510.791016	-63.677940
12521.557617	-61.059181
12532.324219	-61.117016
12543.090820	-62.081779
